City,Sub_Area,Property_Type,Land_Type,BHK,Year_Listed,Price
Rajahmundry,Innespeta,Land,Residential,0,2017,14321000.0
Kakinada,Boat Club,Residency,Residential,1,2024,13329000.0
Nellore,Ramalingapuram,Residency,Residential,2,2017,18382000.0
Kurnool,C-Camp,Land,Industrial,0,2024,26201000.0
Eluru,Ashok Nagar,Land,Commercial,0,2016,15598000.0
Kurnool,Budhavarapeta,Residency,Residential,3,2024,31312000.0
Kakinada,Boat Club,Residency,Residential,5,2024,29728000.0
Anantapur,Gooty Road,Land,Industrial,0,2017,15627000.0
Nellore,Balaji Nagar,Residency,Residential,4,2022,29756000.0
Anantapur,Sai Nagar,Land,Agricultural,0,2018,6356000.0
Eluru,Eluru City,Land,Industrial,0,2020,19027000.0
Nellore,Magunta Layout,Residency,Residential,2,2018,13219000.0
Tirupati,Chandragiri,Residency,Residential,5,2019,44194000.0
Kakinada,Jagannaickpur,Residency,Residential,1,2015,13821000.0
Vijayawada,Gunadala,Land,Industrial,0,2017,14079000.0
Anantapur,Maruthi Nagar,Residency,Residential,4,2018,21602000.0
Tirupati,MR Palli,Land,Industrial,0,2017,17656000.0
Nellore,Podalakur Road,Land,Commercial,0,2019,16150000.0
Visakhapatnam,Anakapalle,Residency,Residential,3,2017,10756000.0
Kurnool,Kurnool City,Residency,Residential,4,2023,40388000.0
Srikakulam,Srikakulam City,Residency,Residential,2,2017,18053000.0
Chittoor,Puttur Road,Residency,Residential,1,2019,6303000.0
Vizianagaram,Dharmapuri,Residency,Residential,2,2020,14876000.0
Kakinada,Bhanugudi,Residency,Residential,3,2020,18793000.0
Rajahmundry,Lalacheruvu,Residency,Residential,3,2021,27362000.0
Guntur,Pattabhipuram,Land,Agricultural,0,2024,6485000.0
Visakhapatnam,Kurmannapalem,Land,Commercial,0,2021,9702000.0
Vijayawada,Gollapudi,Land,Agricultural,0,2018,8121000.0
Vijayawada,Gunadala,Residency,Residential,3,2016,20677000.0
Visakhapatnam,Seethammadhara,Land,Residential,0,2020,4929000.0
Nellore,Kovur,Land,Commercial,0,2016,16076000.0
Vizianagaram,Vizianagaram City,Land,Agricultural,0,2021,7186000.0
Srikakulam,Arasavilli,Residency,Residential,5,2019,26650000.0
Tirupati,Tiruchanoor Road,Land,Commercial,0,2024,24761000.0
Guntur,Amaravathi Road,Residency,Residential,2,2023,11252000.0
Guntur,Lakshmipuram,Land,Agricultural,0,2018,4202000.0
Srikakulam,Ponduru Road,Residency,Residential,2,2017,20996000.0
Eluru,Ashok Nagar,Residency,Residential,1,2018,12357000.0
Chittoor,Bangarupalem,Residency,Residential,4,2022,14715000.0
Nellore,Magunta Layout,Residency,Residential,3,2017,16263000.0
Srikakulam,Balaga,Residency,Residential,5,2024,34468000.0
Kakinada,Sarpavaram,Land,Industrial,0,2018,15358000.0
Vizianagaram,Vizianagaram City,Land,Commercial,0,2020,17927000.0
Visakhapatnam,Pendurthi,Residency,Residential,2,2020,9310000.0
Vijayawada,Gannavaram,Residency,Residential,2,2018,22100000.0
Rajahmundry,Hukumpeta,Land,Residential,0,2016,14032000.0
Kakinada,Bhanugudi,Residency,Residential,3,2019,18052000.0
Ongole,Lawyerpet,Land,Commercial,0,2020,11397000.0
Nellore,Podalakur Road,Land,Residential,0,2016,9003000.0
Rajahmundry,Korukonda Road,Land,Residential,0,2021,16655000.0
Anantapur,Bukkarayasamudram,Residency,Residential,5,2016,27582000.0
Anantapur,Rudrampeta,Residency,Residential,2,2020,15190000.0
Kurnool,Kodumur,Residency,Residential,1,2024,23125000.0
Kurnool,Abbas Nagar,Residency,Residential,2,2018,22698000.0
Chittoor,Kongareddy Palle,Land,Residential,0,2020,4867000.0
Tirupati,MR Palli,Land,Commercial,0,2024,28370000.0
Anantapur,Rapthadu Road,Land,Agricultural,0,2018,7227000.0
Kakinada,Boat Club,Residency,Residential,2,2018,14069000.0
Eluru,Powerpet,Residency,Residential,2,2022,18837000.0
Visakhapatnam,Gajuwaka,Residency,Residential,5,2018,11432000.0
Srikakulam,Balaga,Residency,Residential,3,2016,18623000.0
Vijayawada,Patamata,Land,Agricultural,0,2016,5828000.0
Srikakulam,Navabharat Junction,Land,Commercial,0,2023,23586000.0
Srikakulam,Narasannapeta Road,Land,Agricultural,0,2022,9270000.0
Rajahmundry,Innespeta,Land,Residential,0,2016,13952000.0
Chittoor,Puttur Road,Land,Residential,0,2020,6000000.0
Kadapa,Rayachoti Road,Residency,Residential,5,2022,20115000.0
Anantapur,Kalyandurg Road,Residency,Residential,4,2016,25385000.0
Kadapa,Mydukur Road,Land,Industrial,0,2020,9417000.0
Srikakulam,Narasannapeta Road,Land,Industrial,0,2024,23246000.0
Vizianagaram,Cantonment,Land,Residential,0,2020,9248000.0
Rajahmundry,Lalacheruvu,Land,Residential,0,2023,16448000.0
Visakhapatnam,Pendurthi,Residency,Residential,4,2018,13393000.0
Guntur,Lakshmipuram,Land,Commercial,0,2024,14569000.0
Ongole,Mangamuru Road,Residency,Residential,2,2016,8680000.0
Rajahmundry,Lalacheruvu,Land,Commercial,0,2020,20340000.0
Kadapa,Chinna Chowk,Land,Agricultural,0,2024,5132000.0
Anantapur,Anantapur City,Residency,Residential,3,2024,31845000.0
Kadapa,Akkayapalli,Land,Industrial,0,2024,11642000.0
Nellore,Kovur,Residency,Residential,1,2020,14199000.0
Kurnool,Kallur,Residency,Residential,5,2016,28242000.0
Ongole,Pernamitta,Residency,Residential,1,2024,8598000.0
Guntur,Gorantla,Land,Residential,0,2019,6726000.0
Vizianagaram,Cantonment,Land,Industrial,0,2023,14661000.0
Kadapa,Akkayapalli,Residency,Residential,3,2021,13498000.0
Nellore,Ramalingapuram,Land,Industrial,0,2016,14597000.0
Eluru,Ashok Nagar,Residency,Residential,5,2016,28224000.0
Ongole,Ongole City,Residency,Residential,3,2015,12705000.0
Tirupati,Karakambadi,Land,Commercial,0,2018,23874000.0
Anantapur,Sai Nagar,Residency,Residential,4,2017,24779000.0
Srikakulam,Arasavilli,Residency,Residential,3,2018,18896000.0
Chittoor,Irala,Residency,Residential,1,2018,6768000.0
Guntur,Nallapadu,Residency,Residential,1,2023,11047000.0
Vizianagaram,Dharmapuri,Residency,Residential,5,2016,22567000.0
Vijayawada,Enikepadu,Residency,Residential,5,2015,33891000.0
Kadapa,Mariyapuram,Residency,Residential,5,2015,12607000.0
Ongole,Pernamitta,Residency,Residential,1,2023,8261000.0
Rajahmundry,Diwancheruvu,Residency,Residential,5,2016,30374000.0
Vizianagaram,Dharmapuri,Residency,Residential,2,2015,11776000.0
Kurnool,Nandyal Road,Residency,Residential,1,2018,12317000.0
Srikakulam,Amadalavalasa Road,Residency,Residential,5,2020,38314000.0
Chittoor,Irala,Residency,Residential,4,2018,13724000.0
Ongole,Pelluru,Residency,Residential,1,2021,11009000.0
Kadapa,Chinna Chowk,Land,Agricultural,0,2016,3271000.0
Chittoor,Irala,Residency,Residential,2,2015,7809000.0
Srikakulam,Srikakulam City,Residency,Residential,4,2018,26243000.0
Visakhapatnam,Rushikonda,Residency,Residential,3,2019,9602000.0
Srikakulam,Gujarathipeta,Land,Commercial,0,2023,22208000.0
Vizianagaram,Poolbagh,Land,Residential,0,2021,10322000.0
Chittoor,Palamaner Road,Land,Agricultural,0,2018,3014000.0
Visakhapatnam,Steel Plant,Land,Industrial,0,2020,8484000.0
Rajahmundry,Kotipalli,Land,Commercial,0,2024,35026000.0
Ongole,Pernamitta,Residency,Residential,1,2020,7757000.0
Srikakulam,Srikakulam City,Land,Industrial,0,2023,20593000.0
Ongole,Lawyerpet,Residency,Residential,2,2023,12422000.0
Eluru,Ramachandra Rao Peta,Residency,Residential,4,2017,32204000.0
Vijayawada,Poranki,Land,Commercial,0,2016,17349000.0
Kurnool,Joharapuram,Residency,Residential,4,2024,39422000.0
Chittoor,Palamaner Road,Land,Residential,0,2021,5934000.0
Visakhapatnam,Gajuwaka,Residency,Residential,4,2021,11555000.0
Vizianagaram,Dharmapuri,Residency,Residential,2,2022,16086000.0
Vijayawada,Bhavanipuram,Residency,Residential,2,2020,20929000.0
Kadapa,Kamalapuram,Land,Residential,0,2024,9795000.0
Guntur,Inner Ring Road,Land,Agricultural,0,2016,3905000.0
Chittoor,Greamspet,Residency,Residential,5,2017,11051000.0
Srikakulam,Ponduru Road,Land,Residential,0,2019,14676000.0
Rajahmundry,Morampudi,Residency,Residential,2,2023,27861000.0
Ongole,Lawyerpet,Land,Commercial,0,2017,10165000.0
Vizianagaram,Bondapalli,Residency,Residential,3,2022,23056000.0
Kadapa,Nagarajupalli,Land,Commercial,0,2023,10923000.0
Vizianagaram,Pusapatirega,Land,Agricultural,0,2017,6874000.0
Visakhapatnam,Seethammadhara,Land,Residential,0,2021,5554000.0
Anantapur,Rudrampeta,Land,Residential,0,2015,8103000.0
Vizianagaram,Pusapatirega,Residency,Residential,5,2016,28126000.0
Kurnool,C-Camp,Residency,Residential,1,2017,15982000.0
Srikakulam,Balaga,Residency,Residential,1,2024,14743000.0
Vizianagaram,Pusapatirega,Residency,Residential,5,2017,31153000.0
Eluru,Eluru City,Residency,Residential,2,2015,17826000.0
Tirupati,Bairagipatteda,Residency,Residential,2,2021,26632000.0
Vijayawada,Poranki,Residency,Residential,2,2018,20514000.0
Kakinada,NFCL Road,Land,Commercial,0,2016,17762000.0
Kadapa,Rayachoti Road,Residency,Residential,3,2022,15631000.0
Vijayawada,Gunadala,Land,Residential,0,2024,16619000.0
Kadapa,Mariyapuram,Land,Residential,0,2022,6830000.0
Nellore,Kovur,Residency,Residential,1,2022,14684000.0
Kurnool,Panyam,Residency,Residential,1,2023,22911000.0
Kakinada,Indrapalem,Residency,Residential,2,2015,14627000.0
Visakhapatnam,Pendurthi,Residency,Residential,1,2024,8217000.0
Tirupati,Bairagipatteda,Residency,Residential,5,2016,37250000.0
Ongole,Sujatha Nagar,Land,Residential,0,2015,6439000.0
Vijayawada,Benz Circle,Residency,Residential,2,2023,17929000.0
Tirupati,Korlagunta,Residency,Residential,2,2022,24840000.0
Srikakulam,Day and Night Junction,Residency,Residential,3,2020,24448000.0
Eluru,Vatluru,Residency,Residential,5,2023,36777000.0
Guntur,Gorantla,Residency,Residential,1,2020,7267000.0
Vijayawada,Poranki,Land,Residential,0,2019,14855000.0
Kakinada,Sarpavaram,Residency,Residential,1,2015,11812000.0
Kakinada,Indrapalem,Residency,Residential,2,2016,15346000.0
Rajahmundry,Morampudi,Land,Residential,0,2021,17750000.0
Vizianagaram,Poolbagh,Land,Commercial,0,2020,14425000.0
Chittoor,Irala,Land,Residential,0,2021,7025000.0
Nellore,Podalakur Road,Land,Industrial,0,2022,16230000.0
Guntur,Arundalpet,Residency,Residential,1,2020,6724000.0
Nellore,Mini Bypass,Residency,Residential,1,2016,11058000.0
Anantapur,Gooty Road,Land,Agricultural,0,2018,7669000.0
Visakhapatnam,Rushikonda,Land,Industrial,0,2015,5235000.0
Tirupati,MR Palli,Residency,Residential,2,2024,25801000.0
Srikakulam,Arasavilli,Land,Industrial,0,2015,10955000.0
Vizianagaram,Nellimarla,Residency,Residential,5,2021,33502000.0
Tirupati,Chandragiri,Residency,Residential,3,2023,36090000.0
Rajahmundry,Lalacheruvu,Residency,Residential,5,2024,43632000.0
Chittoor,Bangarupalem,Residency,Residential,5,2023,17590000.0
Srikakulam,Navabharat Junction,Land,Commercial,0,2015,13934000.0
Vijayawada,Gannavaram,Land,Industrial,0,2023,25978000.0
Kadapa,Rayachoti Road,Land,Residential,0,2016,5821000.0
Rajahmundry,Lalacheruvu,Land,Commercial,0,2019,19538000.0
Srikakulam,Balaga,Land,Residential,0,2016,9508000.0
Visakhapatnam,Gajuwaka,Residency,Residential,1,2019,4989000.0
Guntur,Gorantla,Land,Commercial,0,2018,9324000.0
Ongole,Mangamuru Road,Residency,Residential,5,2019,16935000.0
Tirupati,Tiruchanoor Road,Residency,Residential,4,2016,26348000.0
Vizianagaram,Bondapalli,Land,Residential,0,2016,9822000.0
Eluru,Powerpet,Residency,Residential,2,2019,15821000.0
Guntur,Amaravathi Road,Residency,Residential,4,2015,11526000.0
Vizianagaram,Poolbagh,Residency,Residential,3,2022,18651000.0
Kakinada,Jagannaickpur,Land,Residential,0,2019,13460000.0
Anantapur,Anantapur City,Residency,Residential,2,2023,23813000.0
Anantapur,Kalyandurg Road,Residency,Residential,3,2016,22477000.0
Vijayawada,Penamaluru,Land,Industrial,0,2024,20903000.0
Vizianagaram,Bondapalli,Land,Agricultural,0,2016,5533000.0
Kadapa,Mariyapuram,Residency,Residential,5,2024,18820000.0
Vizianagaram,Cantonment,Land,Agricultural,0,2017,4448000.0
Kakinada,Jagannaickpur,Land,Industrial,0,2022,21636000.0
Ongole,Pernamitta,Land,Industrial,0,2015,6963000.0
Vijayawada,Kanuru,Residency,Residential,5,2016,26838000.0
Rajahmundry,Lalacheruvu,Land,Industrial,0,2020,18248000.0
Visakhapatnam,Gajuwaka,Land,Industrial,0,2021,6971000.0
Vizianagaram,Nellimarla,Land,Commercial,0,2021,19985000.0
Vizianagaram,Vizianagaram City,Land,Commercial,0,2024,21381000.0
Eluru,Tangellamudi,Residency,Residential,2,2018,21959000.0
Chittoor,Bangarupalem,Residency,Residential,4,2022,14919000.0
Tirupati,Chandragiri,Residency,Residential,5,2018,44605000.0
Visakhapatnam,Gajuwaka,Land,Residential,0,2020,4706000.0
Visakhapatnam,Madhurawada,Land,Industrial,0,2019,5753000.0
Guntur,Tenali Road,Land,Commercial,0,2016,8450000.0
Kakinada,Sarpavaram,Land,Industrial,0,2017,14739000.0
Kakinada,Bhanugudi,Land,Residential,0,2024,12887000.0
Kurnool,Kallur,Residency,Residential,1,2024,17635000.0
Vizianagaram,Denkada,Residency,Residential,5,2023,34975000.0
Anantapur,Bukkarayasamudram,Residency,Residential,3,2021,23850000.0
Chittoor,Greamspet,Residency,Residential,4,2019,10007000.0
Srikakulam,Amadalavalasa Road,Residency,Residential,5,2024,43464000.0
Vijayawada,Penamaluru,Residency,Residential,5,2024,37087000.0
Nellore,Kovur,Land,Agricultural,0,2022,8626000.0
Vijayawada,Enikepadu,Land,Agricultural,0,2017,7547000.0
Ongole,Pelluru,Land,Agricultural,0,2022,6579000.0
Srikakulam,Day and Night Junction,Residency,Residential,4,2019,28319000.0
Vijayawada,Gannavaram,Residency,Residential,1,2020,17394000.0
Kurnool,Kallur,Land,Agricultural,0,2020,7618000.0
Vizianagaram,Simhachalam Road,Land,Residential,0,2015,8414000.0
Rajahmundry,Danavaipeta,Land,Agricultural,0,2015,5648000.0
Srikakulam,Palakonda Road,Residency,Residential,3,2020,28732000.0
Vijayawada,Gannavaram,Residency,Residential,3,2021,30362000.0
Srikakulam,Day and Night Junction,Residency,Residential,3,2019,23548000.0
Ongole,Santhapet,Land,Industrial,0,2022,10542000.0
Vizianagaram,Simhachalam Road,Residency,Residential,4,2022,25052000.0
Rajahmundry,Kotipalli,Residency,Residential,5,2019,43299000.0
Kakinada,Ramanayyapeta,Residency,Residential,1,2024,14256000.0
Nellore,VRC Centre,Land,Residential,0,2023,14551000.0
Tirupati,Tiruchanoor Road,Residency,Residential,5,2018,33611000.0
Vijayawada,Kanuru,Residency,Residential,5,2020,31346000.0
Kurnool,Kodumur,Land,Residential,0,2017,15693000.0
Nellore,Ramalingapuram,Residency,Residential,3,2017,22620000.0
Anantapur,Gooty Road,Residency,Residential,2,2016,17650000.0
Tirupati,Korlagunta,Residency,Residential,3,2019,27805000.0
Tirupati,MR Palli,Land,Agricultural,0,2020,9124000.0
Vijayawada,Benz Circle,Residency,Residential,4,2020,23746000.0
Nellore,Podalakur Road,Residency,Residential,2,2016,13815000.0
Guntur,Nallapadu,Residency,Residential,5,2019,21044000.0
Vijayawada,Penamaluru,Residency,Residential,4,2024,33494000.0
Kurnool,C-Camp,Residency,Residential,1,2021,17278000.0
Kurnool,Venkataramana Colony,Residency,Residential,5,2019,35014000.0
Ongole,Pernamitta,Residency,Residential,1,2015,6184000.0
Rajahmundry,Korukonda Road,Land,Industrial,0,2024,26486000.0
Vizianagaram,Simhachalam Road,Land,Commercial,0,2019,16047000.0
Vijayawada,Gunadala,Land,Agricultural,0,2015,5772000.0
Kurnool,Budhavarapeta,Land,Agricultural,0,2021,9196000.0
Kurnool,C-Camp,Residency,Residential,1,2019,16169000.0
Guntur,Amaravathi Road,Residency,Residential,5,2020,17512000.0
Nellore,Muthukur Road,Residency,Residential,3,2017,20969000.0
Nellore,Balaji Nagar,Land,Commercial,0,2020,19617000.0
Kurnool,Kurnool City,Residency,Residential,1,2018,17780000.0
Kakinada,Indrapalem,Land,Industrial,0,2016,13579000.0
Srikakulam,Day and Night Junction,Land,Agricultural,0,2017,6652000.0
Eluru,Tangellamudi,Land,Residential,0,2015,12137000.0
Kadapa,Yerramukkapalli,Residency,Residential,4,2021,12771000.0
Chittoor,Puttur Road,Land,Industrial,0,2020,8140000.0
Ongole,Kurnool Road,Land,Residential,0,2022,9126000.0
Vizianagaram,Vizianagaram City,Residency,Residential,5,2018,27574000.0
Nellore,Podalakur Road,Land,Commercial,0,2018,15311000.0
Visakhapatnam,Anakapalle,Land,Residential,0,2021,6684000.0
Rajahmundry,Morampudi,Land,Industrial,0,2023,26189000.0
Eluru,Eluru City,Land,Agricultural,0,2022,10526000.0
Vizianagaram,Nellimarla,Residency,Residential,1,2015,11126000.0
Chittoor,Chittoor City,Land,Commercial,0,2019,8325000.0
Srikakulam,Srikakulam City,Residency,Residential,3,2015,20809000.0
Ongole,Kurnool Road,Residency,Residential,5,2020,19550000.0
Rajahmundry,Korukonda Road,Land,Commercial,0,2018,20975000.0
Tirupati,Tiruchanoor Road,Residency,Residential,5,2016,30314000.0
Vijayawada,Kanuru,Land,Commercial,0,2015,13297000.0
Vijayawada,Gunadala,Residency,Residential,1,2016,12586000.0
Eluru,Ashok Nagar,Land,Commercial,0,2015,13677000.0
Tirupati,Tiruchanoor Road,Land,Agricultural,0,2015,5974000.0
Visakhapatnam,Madhurawada,Land,Residential,0,2021,5207000.0
Kurnool,Nandyal Road,Residency,Residential,3,2020,23055000.0
Ongole,Ongole City,Residency,Residential,2,2015,10263000.0
Guntur,Arundalpet,Residency,Residential,3,2015,9327000.0
Srikakulam,Srikakulam City,Land,Residential,0,2018,11861000.0
Vizianagaram,Dharmapuri,Residency,Residential,1,2016,9818000.0
Kadapa,Akkayapalli,Residency,Residential,2,2015,8083000.0
Vizianagaram,Poolbagh,Land,Residential,0,2023,11954000.0
Anantapur,Anantapur City,Residency,Residential,4,2021,34626000.0
Kadapa,Akkayapalli,Land,Agricultural,0,2022,4629000.0
Tirupati,Chandragiri,Residency,Residential,3,2021,35987000.0
Kurnool,Abbas Nagar,Land,Commercial,0,2019,24209000.0
Eluru,Fathepur,Land,Commercial,0,2019,21968000.0
Eluru,Ramachandra Rao Peta,Residency,Residential,2,2015,20320000.0
Ongole,Koppolu,Land,Commercial,0,2016,11001000.0
Srikakulam,Narasannapeta Road,Residency,Residential,1,2017,14425000.0
Visakhapatnam,Madhurawada,Residency,Residential,5,2019,10927000.0
Vijayawada,Patamata,Residency,Residential,5,2016,25654000.0
Nellore,Magunta Layout,Land,Industrial,0,2024,16568000.0
Srikakulam,Narasannapeta Road,Land,Agricultural,0,2023,9836000.0
Anantapur,Rapthadu Road,Land,Residential,0,2020,13427000.0
Anantapur,Gooty Road,Land,Residential,0,2024,17319000.0
Kadapa,Chinna Chowk,Land,Commercial,0,2023,12215000.0
Eluru,Eluru City,Residency,Residential,4,2015,26419000.0
Vijayawada,Bhavanipuram,Residency,Residential,2,2017,17406000.0
Kadapa,Nagarajupalli,Land,Residential,0,2017,5309000.0
Nellore,Vedayapalem,Land,Residential,0,2022,11919000.0
Guntur,Amaravathi Road,Land,Residential,0,2019,6477000.0
Visakhapatnam,Steel Plant,Residency,Residential,3,2018,11417000.0
Rajahmundry,Innespeta,Residency,Residential,4,2022,40921000.0
Ongole,Lawyerpet,Land,Commercial,0,2023,14301000.0
Kadapa,Kadapa City,Land,Residential,0,2020,7289000.0
Kakinada,Bhanugudi,Residency,Residential,5,2020,25852000.0
Nellore,Atmakur Bus Stand,Residency,Residential,4,2022,32709000.0
Ongole,Mangamuru Road,Land,Industrial,0,2015,6545000.0
Visakhapatnam,Muralinagar,Land,Agricultural,0,2017,3142000.0
Guntur,Amaravathi Road,Residency,Residential,2,2017,8209000.0
Anantapur,Housing Board,Residency,Residential,1,2015,10210000.0
Vizianagaram,Denkada,Land,Commercial,0,2020,19283000.0
Anantapur,Rudrampeta,Residency,Residential,1,2015,9627000.0
Rajahmundry,Danavaipeta,Land,Agricultural,0,2020,7470000.0
Vijayawada,Benz Circle,Residency,Residential,2,2019,16129000.0
Visakhapatnam,Madhurawada,Land,Industrial,0,2016,4895000.0
Kurnool,Kurnool City,Residency,Residential,5,2016,38190000.0
Eluru,Tangellamudi,Residency,Residential,2,2020,24905000.0
Vijayawada,Gunadala,Residency,Residential,2,2022,21306000.0
Kurnool,Venkataramana Colony,Land,Agricultural,0,2023,10014000.0
Chittoor,Chittoor City,Residency,Residential,5,2022,16821000.0
Nellore,VRC Centre,Land,Commercial,0,2018,16445000.0
Eluru,Kaikaluru Road,Land,Agricultural,0,2017,7232000.0
Anantapur,Rudrampeta,Land,Industrial,0,2021,15243000.0
Kakinada,Bhanugudi,Residency,Residential,4,2023,26794000.0
Visakhapatnam,Seethammadhara,Land,Residential,0,2015,3658000.0
Guntur,Amaravathi Road,Residency,Residential,4,2020,14826000.0
Tirupati,MR Palli,Residency,Residential,1,2016,15213000.0
Visakhapatnam,Kurmannapalem,Land,Residential,0,2020,5950000.0
Chittoor,Bangarupalem,Land,Agricultural,0,2021,4032000.0
Kakinada,Indrapalem,Land,Industrial,0,2022,18124000.0
Anantapur,Kalyandurg Road,Residency,Residential,2,2020,21231000.0
Kakinada,Sarpavaram,Residency,Residential,1,2017,12811000.0
Anantapur,Maruthi Nagar,Residency,Residential,2,2016,13616000.0
Vizianagaram,Gajularega,Residency,Residential,1,2016,10334000.0
Vizianagaram,Pusapatirega,Residency,Residential,5,2023,37453000.0
Srikakulam,Gujarathipeta,Land,Agricultural,0,2015,5698000.0
Tirupati,MR Palli,Residency,Residential,2,2016,19308000.0
Ongole,Pernamitta,Residency,Residential,5,2023,20047000.0
Srikakulam,Arasavilli,Land,Industrial,0,2020,14667000.0
Kadapa,Chinna Chowk,Land,Residential,0,2016,5135000.0
Visakhapatnam,Rushikonda,Residency,Residential,2,2019,7484000.0
Chittoor,Irala,Land,Residential,0,2022,7374000.0
Vijayawada,Gannavaram,Land,Residential,0,2019,15458000.0
Ongole,Santhapet,Residency,Residential,3,2022,14528000.0
Vizianagaram,Poolbagh,Land,Commercial,0,2023,16967000.0
Kakinada,NFCL Road,Land,Agricultural,0,2022,10042000.0
Visakhapatnam,Steel Plant,Residency,Residential,3,2018,11350000.0
Ongole,Koppolu,Residency,Residential,3,2024,21522000.0
Chittoor,Palamaner Road,Land,Industrial,0,2016,5528000.0
Rajahmundry,Hukumpeta,Land,Agricultural,0,2021,11156000.0
Kadapa,Mariyapuram,Residency,Residential,5,2022,17411000.0
Chittoor,Bangarupalem,Residency,Residential,1,2022,7299000.0
Vijayawada,Poranki,Residency,Residential,1,2017,14998000.0
Ongole,Pelluru,Land,Commercial,0,2017,11422000.0
Nellore,Mini Bypass,Residency,Residential,4,2020,25698000.0
Nellore,Muthukur Road,Residency,Residential,2,2017,18203000.0
Kurnool,Kallur,Land,Commercial,0,2021,20731000.0
Srikakulam,Navabharat Junction,Residency,Residential,2,2023,21277000.0
Guntur,Brodipet,Residency,Residential,5,2018,14326000.0
Vizianagaram,Cantonment,Residency,Residential,1,2022,11071000.0
Ongole,Pernamitta,Land,Industrial,0,2018,7956000.0
Anantapur,GeorgePeta,Residency,Residential,1,2023,12452000.0
Vizianagaram,Dharmapuri,Residency,Residential,5,2017,22755000.0
Tirupati,Padmavathi Puram,Residency,Residential,2,2016,18270000.0
Kadapa,Ravindra Nagar,Land,Residential,0,2020,5951000.0
Eluru,Ramachandra Rao Peta,Residency,Residential,4,2020,35258000.0
Rajahmundry,Hukumpeta,Residency,Residential,4,2024,45286000.0
Eluru,Vatluru,Residency,Residential,5,2020,32575000.0
Chittoor,Vellore Road,Land,Residential,0,2022,6024000.0
Vijayawada,Bhavanipuram,Residency,Residential,3,2021,27322000.0
Anantapur,Sai Nagar,Residency,Residential,1,2020,13919000.0
Kurnool,Budhavarapeta,Residency,Residential,5,2023,41767000.0
Ongole,Mangamuru Road,Residency,Residential,5,2018,16361000.0
Chittoor,Vellore Road,Residency,Residential,4,2017,11103000.0
Kadapa,Mariyapuram,Residency,Residential,1,2020,6750000.0
Ongole,Koppolu,Land,Commercial,0,2022,16084000.0
Eluru,Tangellamudi,Residency,Residential,4,2020,38159000.0
Srikakulam,Day and Night Junction,Land,Commercial,0,2018,17860000.0
Guntur,Gorantla,Land,Commercial,0,2016,8521000.0
Ongole,Mangamuru Road,Land,Commercial,0,2022,11582000.0
Kadapa,Mydukur Road,Residency,Residential,3,2017,11743000.0
Srikakulam,Balaga,Residency,Residential,5,2021,30253000.0
Guntur,Gorantla,Residency,Residential,5,2015,14084000.0
Tirupati,Padmavathi Puram,Land,Industrial,0,2019,17524000.0
Rajahmundry,Danavaipeta,Residency,Residential,1,2017,12098000.0
Vijayawada,Benz Circle,Residency,Residential,5,2022,30365000.0
Kurnool,Abbas Nagar,Residency,Residential,2,2023,26562000.0
Kakinada,Sarpavaram,Land,Residential,0,2018,11791000.0
Guntur,Pattabhipuram,Residency,Residential,1,2020,9288000.0
Rajahmundry,Danavaipeta,Residency,Residential,5,2018,28782000.0
Vizianagaram,Denkada,Residency,Residential,2,2018,17446000.0
Vizianagaram,Denkada,Residency,Residential,4,2022,30690000.0
Kurnool,Joharapuram,Land,Commercial,0,2015,16720000.0
Kakinada,Kakinada Port,Land,Industrial,0,2022,17363000.0
Vizianagaram,Cantonment,Residency,Residential,2,2015,10905000.0
Vizianagaram,Poolbagh,Land,Residential,0,2018,8551000.0
Vijayawada,Gollapudi,Residency,Residential,2,2015,17555000.0
Vizianagaram,Pusapatirega,Land,Commercial,0,2019,19098000.0
Srikakulam,Narasannapeta Road,Residency,Residential,2,2019,20065000.0
Rajahmundry,Prakash Nagar,Land,Residential,0,2017,11729000.0
Ongole,Santhapet,Land,Residential,0,2017,5917000.0
Srikakulam,Srikakulam City,Land,Industrial,0,2015,13077000.0
Eluru,Eluru City,Residency,Residential,5,2024,44278000.0
Guntur,Amaravathi Road,Land,Agricultural,0,2018,3541000.0
Vizianagaram,Pusapatirega,Residency,Residential,5,2016,28515000.0
Ongole,Bhagya Nagar,Land,Industrial,0,2018,9746000.0
Guntur,Nallapadu,Residency,Residential,4,2020,19221000.0
Visakhapatnam,Rushikonda,Land,Commercial,0,2020,8479000.0
Visakhapatnam,Madhurawada,Land,Industrial,0,2022,7176000.0
Visakhapatnam,MVP Colony,Residency,Residential,2,2019,7347000.0
Eluru,Sanivarapupeta,Land,Residential,0,2023,14708000.0
Kakinada,Ramanayyapeta,Land,Industrial,0,2017,12873000.0
Kadapa,Yerramukkapalli,Land,Commercial,0,2024,10571000.0
Tirupati,TUDA Layout,Residency,Residential,1,2018,18664000.0
Eluru,Eluru City,Land,Residential,0,2020,14399000.0
Kadapa,Rayachoti Road,Residency,Residential,2,2020,11329000.0
Kakinada,Boat Club,Residency,Residential,4,2016,18041000.0
Eluru,Eluru City,Land,Residential,0,2017,12944000.0
Kadapa,Yerramukkapalli,Residency,Residential,2,2015,6327000.0
Vizianagaram,Cantonment,Land,Agricultural,0,2023,6329000.0
Nellore,Atmakur Bus Stand,Land,Residential,0,2022,15586000.0
